ticker,company,action,quantite,prix,date_heure
AAPL,Apple Inc.,Achat,50,190,2025-04-11 08:00:12
MSFT,Microsoft Corporation,Achat,30,383.02,2025-04-11 08:02:25
TSLA,"Tesla, Inc.",Achat,10,250.00,2025-04-11 08:05:00
NVDA,NVIDIA Corporation,Achat,20,100.01,2025-04-11 08:10:10
AMZN,"Amazon.com, Inc.",Achat,15,163.00,2025-04-11 08:11:05
META,"Meta Platforms, Inc.",Achat,25,530.00,2025-04-11 08:15:20
ORCL,Oracle Corporation,Achat,40,130.00,2025-04-11 08:03:10
SAP,SAP SE (ADR),Achat,18,140.00,2025-04-11 08:30:45
INTC,Intel Corporation,Achat,35,11.00,2025-04-11 08:06:20
AMD,"Advanced Micro Devices, Inc.",Achat,28,74.00,2025-04-11 08:17:00
